Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),0.906 (0.008),0.909 (0.008),0.907 (0.008),0.906 (0.008),0.906 (0.008),0.902 (0.008),0.921 (0.01)
concrete (1030),0.901 (0.008),0.902 (0.007),0.904 (0.008),0.905 (0.008),0.906 (0.008),0.905 (0.007),0.904 (0.011)
airfoil (1503),0.9 (0.007),0.901 (0.007),0.905 (0.007),0.904 (0.007),0.904 (0.007),0.901 (0.007),0.906 (0.009)
winered (1599),0.903 (0.007),0.9 (0.007),0.906 (0.007),0.906 (0.007),0.904 (0.007),0.906 (0.006),0.905 (0.009)
communities (1994),0.902 (0.006),0.903 (0.006),0.9 (0.006),0.901 (0.006),0.901 (0.006),0.902 (0.006),0.904 (0.009)
star $\times 10^2$ (2161),0.902 (0.005),0.901 (0.006),0.901 (0.006),0.901 (0.006),0.897 (0.005),0.902 (0.006),0.903 (0.008)
abalone (4177),0.898 (0.004),0.899 (0.004),0.901 (0.004),0.901 (0.004),0.901 (0.004),0.899 (0.004),0.9 (0.005)
winewhite (4898),0.901 (0.003),0.903 (0.003),0.902 (0.003),0.901 (0.004),0.902 (0.004),0.904 (0.003),0.903 (0.005)
cycle (9568),0.899 (0.002),0.898 (0.003),0.9 (0.002),0.9 (0.002),0.901 (0.002),0.901 (0.002),0.898 (0.004)
electric (10000),0.897 (0.002),0.897 (0.003),0.898 (0.003),0.898 (0.003),0.898 (0.003),0.902 (0.002),0.899 (0.003)
meps19 (15785),0.9 (0.002),0.9 (0.002),0.9 (0.002),0.9 (0.002),0.9 (0.002),0.902 (0.002),0.9 (0.003)
superconductivity (21263),0.9 (0.002),0.901 (0.002),0.901 (0.002),0.901 (0.002),0.901 (0.002),0.902 (0.002),0.903 (0.003)
homes (21613),0.901 (0.002),0.9 (0.002),0.9 (0.002),0.9 (0.002),0.9 (0.002),0.901 (0.001),0.9 (0.003)
protein (45730),0.899 (0.001),0.9 (0.001),0.901 (0.001),0.901 (0.001),0.901 (0.001),0.901 (0.001),0.899 (0.003)
WEC (54007),0.898 (0.001),0.899 (0.001),0.901 (0.001),0.9 (0.001),0.9 (0.001),0.902 (0.001),0.898 (0.003)
