Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),0.888 (0.027),0.898 (0.028),0.87 (0.03),0.858 (0.03),0.883 (0.03),0.883 (0.029),0.922 (0.026)
concrete (1030),0.92 (0.022),0.92 (0.023),0.92 (0.022),0.916 (0.022),0.918 (0.023),0.94 (0.02),0.929 (0.022)
airfoil (1503),0.889 (0.025),0.892 (0.029),0.876 (0.031),0.877 (0.03),0.873 (0.031),0.859 (0.031),0.893 (0.021)
winered (1599),0.881 (0.027),0.877 (0.024),0.89 (0.023),0.894 (0.023),0.896 (0.023),0.881 (0.024),0.881 (0.025)
communities (1994),0.917 (0.017),0.933 (0.016),0.924 (0.017),0.91 (0.019),0.917 (0.017),0.932 (0.016),0.913 (0.019)
star $\times 10^2$ (2161),0.878 (0.019),0.879 (0.019),0.865 (0.019),0.865 (0.019),0.862 (0.017),0.878 (0.023),0.879 (0.021)
abalone (4177),0.902 (0.014),0.916 (0.013),0.872 (0.017),0.873 (0.016),0.876 (0.016),0.871 (0.015),0.872 (0.016)
winewhite (4898),0.885 (0.014),0.893 (0.012),0.885 (0.013),0.888 (0.012),0.89 (0.013),0.883 (0.011),0.888 (0.013)
cycle (9568),0.883 (0.011),0.9 (0.009),0.868 (0.011),0.87 (0.011),0.868 (0.011),0.872 (0.012),0.875 (0.011)
electric (10000),0.892 (0.009),0.886 (0.011),0.897 (0.01),0.901 (0.009),0.904 (0.009),0.914 (0.008),0.893 (0.01)
meps19 (15785),0.905 (0.006),0.904 (0.007),0.898 (0.006),0.899 (0.007),0.898 (0.006),0.896 (0.008),0.895 (0.007)
superconductivity (21263),0.919 (0.006),0.907 (0.006),0.868 (0.009),0.874 (0.009),0.875 (0.008),0.874 (0.008),0.877 (0.008)
homes (21613),0.91 (0.006),0.912 (0.005),0.884 (0.008),0.885 (0.008),0.885 (0.008),0.881 (0.007),0.897 (0.007)
protein (45730),0.901 (0.005),0.901 (0.005),0.889 (0.005),0.889 (0.005),0.891 (0.005),0.892 (0.004),0.893 (0.006)
WEC (54007),0.85 (0.008),0.842 (0.008),0.829 (0.007),0.829 (0.007),0.828 (0.007),0.818 (0.007),0.831 (0.007)
