Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),0.904 (0.028),0.922 (0.022),0.842 (0.04),0.844 (0.043),0.876 (0.038),0.849 (0.041),0.924 (0.028)
concrete (1030),0.913 (0.027),0.902 (0.025),0.9 (0.023),0.892 (0.023),0.9 (0.023),0.913 (0.022),0.913 (0.021)
airfoil (1503),0.902 (0.019),0.906 (0.025),0.8 (0.03),0.796 (0.031),0.792 (0.031),0.802 (0.037),0.866 (0.023)
winered (1599),0.885 (0.019),0.901 (0.019),0.886 (0.019),0.889 (0.017),0.897 (0.018),0.873 (0.023),0.884 (0.021)
communities (1994),0.919 (0.018),0.926 (0.018),0.912 (0.021),0.908 (0.021),0.913 (0.018),0.923 (0.019),0.917 (0.019)
star $\times 10^2$ (2161),0.87 (0.018),0.871 (0.02),0.854 (0.02),0.856 (0.02),0.859 (0.018),0.87 (0.023),0.873 (0.022)
abalone (4177),0.956 (0.009),0.965 (0.007),0.927 (0.01),0.925 (0.011),0.927 (0.01),0.93 (0.012),0.921 (0.011)
winewhite (4898),0.874 (0.014),0.882 (0.014),0.874 (0.013),0.875 (0.014),0.879 (0.013),0.871 (0.012),0.88 (0.013)
cycle (9568),0.946 (0.007),0.948 (0.007),0.902 (0.01),0.902 (0.01),0.897 (0.01),0.904 (0.01),0.909 (0.01)
electric (10000),0.897 (0.01),0.911 (0.011),0.871 (0.015),0.87 (0.015),0.867 (0.015),0.867 (0.012),0.89 (0.012)
meps19 (15785),0.886 (0.008),0.893 (0.008),0.897 (0.008),0.899 (0.009),0.896 (0.009),0.906 (0.006),0.894 (0.008)
superconductivity (21263),0.913 (0.008),0.902 (0.008),0.883 (0.009),0.89 (0.009),0.887 (0.009),0.889 (0.008),0.89 (0.009)
homes (21613),0.9 (0.008),0.908 (0.005),0.878 (0.008),0.879 (0.008),0.879 (0.009),0.886 (0.007),0.901 (0.007)
protein (45730),0.878 (0.008),0.889 (0.007),0.899 (0.005),0.897 (0.005),0.901 (0.005),0.901 (0.005),0.902 (0.005)
WEC (54007),0.898 (0.004),0.916 (0.003),0.7 (0.009),0.693 (0.008),0.693 (0.008),0.65 (0.006),0.822 (0.007)
