Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),3.032 (0.052),3.029 (0.068),3.027 (0.075),3.094 (0.084),2.995 (0.073),2.859 (0.068),3.229 (0.14)
concrete (1030),21.06 (0.444),20.402 (0.338),18.894 (0.42),19.082 (0.442),18.886 (0.431),18.45 (0.417),19.197 (0.674)
airfoil (1503),8.654 (0.145),8.639 (0.151),6.75 (0.141),6.725 (0.138),6.715 (0.138),6.47 (0.114),6.815 (0.203)
winered (1599),2.039 (0.027),1.968 (0.023),2.013 (0.029),2.044 (0.033),2.013 (0.027),1.99 (0.031),2.044 (0.061)
communities (1994),0.418 (0.007),0.408 (0.006),0.408 (0.006),0.421 (0.007),0.418 (0.007),0.389 (0.006),0.429 (0.011)
star $\times 10^2$ (2161),8.134 (0.08),8.143 (0.082),8.115 (0.075),8.318 (0.091),8.273 (0.08),8.215 (0.083),8.365 (0.152)
abalone (4177),6.705 (0.085),6.463 (0.065),6.234 (0.055),6.242 (0.062),6.257 (0.062),6.064 (0.051),6.326 (0.106)
winewhite (4898),2.312 (0.015),2.234 (0.016),2.219 (0.02),2.235 (0.021),2.228 (0.02),2.151 (0.017),2.238 (0.032)
cycle (9568),13.54 (0.088),13.444 (0.089),11.957 (0.067),11.944 (0.069),11.963 (0.069),11.883 (0.06),11.962 (0.119)
electric (10000),0.029 (0.001),0.028 (0),0.024 (0),0.023 (0),0.024 (0),0.022 (0),0.023 (0)
meps19 (15785),39.707 (0.635),36.756 (0.707),29.258 (0.871),29.147 (0.946),29.094 (0.864),21.724 (0.245),30.378 (0.756)
superconductivity (21263),39.353 (0.336),34.703 (0.288),25.645 (0.254),26.785 (0.299),26.468 (0.273),25.011 (0.161),26.844 (0.306)
homes (21613),349761.596 (3697.624),339494.42 (2957.058),305134.195 (3329.127),305669.736 (2989.372),305991.717 (3062.312),284143.844 (1343.336),316441.558 (3391.136)
protein (45730),13.189 (0.044),12.643 (0.044),10.339 (0.057),10.355 (0.059),10.403 (0.06),10.26 (0.053),10.431 (0.112)
WEC (54007),61979.026 (663.256),57883.348 (633.381),33850.717 (593.113),33630.969 (561.517),33722.947 (576.872),28132.674 (236.712),37300.532 (789.574)
