Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),1.452 (0.093),1.603 (0.127),1.179 (0.071),1.234 (0.098),1.328 (0.095),1.274 (0.071),1.522 (0.091)
concrete (1030),1.072 (0.051),1.147 (0.053),0.973 (0.038),0.967 (0.043),1 (0.04),0.979 (0.034),1.082 (0.057)
airfoil (1503),1.17 (0.091),1.176 (0.08),1.124 (0.071),1.11 (0.065),1.112 (0.066),1.091 (0.063),1.143 (0.075)
winered (1599),1.193 (0.038),1.241 (0.051),1.124 (0.034),1.144 (0.041),1.169 (0.04),1.123 (0.03),1.18 (0.036)
communities (1994),1.134 (0.089),1.157 (0.093),1.114 (0.063),1.13 (0.076),1.148 (0.074),1.109 (0.058),1.205 (0.082)
star $\times 10^2$ (2161),1 (0.011),0.985 (0.012),1.003 (0.01),1.004 (0.013),0.998 (0.013),0.992 (0.013),1.009 (0.01)
abalone (4177),1.376 (0.047),1.428 (0.05),1.256 (0.042),1.264 (0.044),1.277 (0.045),1.211 (0.035),1.329 (0.058)
winewhite (4898),1.084 (0.022),1.102 (0.024),1.042 (0.016),1.044 (0.017),1.057 (0.016),1.032 (0.014),1.063 (0.018)
cycle (9568),0.982 (0.013),1.035 (0.011),0.899 (0.01),0.903 (0.009),0.893 (0.01),0.893 (0.01),0.907 (0.01)
electric (10000),0.952 (0.018),0.956 (0.017),0.978 (0.016),0.983 (0.013),0.984 (0.015),0.985 (0.012),0.96 (0.021)
meps19 (15785),1.093 (0.055),1.087 (0.06),1.039 (0.038),1.04 (0.038),1.039 (0.038),1.022 (0.029),1.043 (0.043)
superconductivity (21263),1.109 (0.023),1.099 (0.021),1.084 (0.024),1.091 (0.027),1.099 (0.026),1.094 (0.026),1.105 (0.026)
homes (21613),1.61 (0.053),1.663 (0.054),1.372 (0.032),1.378 (0.032),1.383 (0.032),1.326 (0.026),1.51 (0.041)
protein (45730),1.028 (0.006),1.038 (0.007),1.016 (0.007),1.017 (0.008),1.022 (0.008),1.018 (0.007),1.056 (0.011)
WEC (54007),1.262 (0.025),1.281 (0.025),1.169 (0.022),1.162 (0.021),1.161 (0.021),1.136 (0.022),1.362 (0.031)
