Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),2.152 (0.137),2.382 (0.153),1.478 (0.097),1.643 (0.129),1.782 (0.114),1.645 (0.077),2.008 (0.112)
concrete (1030),1.05 (0.071),1.107 (0.069),0.935 (0.044),0.924 (0.051),0.972 (0.051),0.944 (0.046),1.019 (0.061)
airfoil (1503),1.319 (0.064),1.44 (0.076),1.178 (0.058),1.164 (0.053),1.151 (0.053),1.13 (0.049),1.329 (0.071)
winered (1599),1.183 (0.039),1.233 (0.039),1.118 (0.037),1.135 (0.043),1.167 (0.041),1.115 (0.029),1.182 (0.037)
communities (1994),1.659 (0.147),1.822 (0.203),1.421 (0.091),1.508 (0.111),1.532 (0.103),1.432 (0.075),1.601 (0.128)
star $\times 10^2$ (2161),0.996 (0.011),0.995 (0.012),1.005 (0.011),1.007 (0.014),1.008 (0.014),0.999 (0.013),1.011 (0.013)
abalone (4177),1.409 (0.065),1.549 (0.065),1.21 (0.038),1.218 (0.039),1.235 (0.039),1.165 (0.034),1.23 (0.045)
winewhite (4898),1.193 (0.031),1.237 (0.033),1.105 (0.022),1.113 (0.023),1.136 (0.021),1.094 (0.017),1.144 (0.024)
cycle (9568),1.194 (0.027),1.186 (0.021),0.956 (0.018),0.958 (0.017),0.939 (0.018),0.924 (0.013),0.978 (0.016)
electric (10000),1.057 (0.04),1.112 (0.042),1.023 (0.048),1.016 (0.036),1.001 (0.041),0.974 (0.033),1.076 (0.066)
meps19 (15785),1.034 (0.046),1.017 (0.049),1.039 (0.039),1.038 (0.038),1.04 (0.038),1.029 (0.031),1.036 (0.045)
superconductivity (21263),1.083 (0.063),1.08 (0.06),1.193 (0.064),1.213 (0.072),1.201 (0.07),1.197 (0.068),1.159 (0.063)
homes (21613),1.204 (0.089),1.255 (0.095),1.105 (0.058),1.105 (0.057),1.108 (0.057),1.079 (0.047),1.222 (0.071)
protein (45730),0.949 (0.01),0.958 (0.01),0.937 (0.015),0.933 (0.016),0.942 (0.015),0.939 (0.015),0.953 (0.014)
WEC (54007),3.445 (0.054),4.873 (0.081),2.791 (0.067),2.704 (0.066),2.712 (0.067),2.492 (0.041),6.457 (0.202)
