Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),0.89 (0.016),0.896 (0.016),0.833 (0.02),0.843 (0.02),0.857 (0.018),0.84 (0.019),0.893 (0.019)
concrete (1030),0.853 (0.016),0.858 (0.015),0.817 (0.016),0.822 (0.017),0.829 (0.017),0.83 (0.016),0.844 (0.019)
airfoil (1503),0.912 (0.011),0.932 (0.009),0.856 (0.013),0.852 (0.013),0.851 (0.014),0.848 (0.015),0.876 (0.015)
winered (1599),0.894 (0.012),0.886 (0.011),0.86 (0.013),0.867 (0.013),0.877 (0.012),0.87 (0.012),0.881 (0.012)
communities (1994),0.909 (0.008),0.909 (0.009),0.867 (0.012),0.876 (0.012),0.882 (0.012),0.88 (0.011),0.893 (0.012)
star $\times 10^2$ (2161),0.909 (0.009),0.917 (0.008),0.905 (0.01),0.9 (0.01),0.897 (0.009),0.907 (0.009),0.912 (0.011)
abalone (4177),0.894 (0.008),0.899 (0.007),0.876 (0.008),0.879 (0.008),0.88 (0.007),0.87 (0.008),0.89 (0.008)
winewhite (4898),0.904 (0.005),0.912 (0.005),0.871 (0.006),0.869 (0.007),0.879 (0.007),0.878 (0.007),0.886 (0.008)
cycle (9568),0.899 (0.005),0.926 (0.005),0.893 (0.005),0.895 (0.005),0.888 (0.005),0.891 (0.005),0.892 (0.006)
electric (10000),0.893 (0.006),0.926 (0.004),0.837 (0.006),0.831 (0.006),0.823 (0.006),0.823 (0.005),0.851 (0.006)
meps19 (15785),0.923 (0.005),0.922 (0.005),0.861 (0.006),0.861 (0.007),0.862 (0.006),0.791 (0.005),0.892 (0.004)
superconductivity (21263),0.781 (0.006),0.897 (0.006),0.892 (0.005),0.879 (0.005),0.882 (0.005),0.886 (0.004),0.876 (0.004)
homes (21613),0.911 (0.004),0.916 (0.003),0.835 (0.007),0.837 (0.006),0.839 (0.005),0.827 (0.004),0.877 (0.005)
protein (45730),0.931 (0.003),0.935 (0.002),0.843 (0.003),0.844 (0.003),0.845 (0.003),0.844 (0.003),0.861 (0.004)
WEC (54007),0.936 (0.002),0.928 (0.002),0.748 (0.005),0.733 (0.004),0.734 (0.005),0.708 (0.003),0.839 (0.005)
