Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),3.946 (0.093),3.933 (0.092),4.109 (0.122),4.159 (0.123),4.045 (0.114),3.936 (0.115),4.148 (0.116)
concrete (1030),27.596 (0.681),26.656 (0.693),26.143 (0.64),26.216 (0.65),26.053 (0.631),25.928 (0.601),26.157 (0.654)
airfoil (1503),10.32 (0.171),10.043 (0.193),9.162 (0.268),9.181 (0.272),9.216 (0.271),9.182 (0.227),9.063 (0.267)
winered (1599),2.734 (0.033),2.72 (0.038),2.752 (0.05),2.777 (0.053),2.729 (0.045),2.687 (0.041),2.766 (0.045)
communities (1994),0.553 (0.011),0.547 (0.011),0.592 (0.014),0.597 (0.013),0.588 (0.012),0.561 (0.011),0.595 (0.013)
star $\times 10^2$ (2161),10.079 (0.097),10.075 (0.104),10.101 (0.1),10.4 (0.112),10.329 (0.112),10.001 (0.108),10.243 (0.102)
abalone (4177),8.649 (0.103),8.455 (0.096),8.369 (0.118),8.37 (0.118),8.346 (0.114),8.258 (0.104),8.393 (0.109)
winewhite (4898),2.983 (0.025),2.946 (0.023),2.996 (0.024),3.012 (0.024),2.982 (0.024),2.911 (0.024),3.001 (0.022)
cycle (9568),17.369 (0.123),16.75 (0.112),16.09 (0.118),16.083 (0.119),16.1 (0.119),15.919 (0.105),16.11 (0.114)
electric (10000),0.036 (0),0.033 (0),0.032 (0),0.032 (0),0.033 (0),0.032 (0),0.031 (0)
meps19 (15785),61.612 (1.264),59.476 (1.168),66.642 (2.016),66.646 (2.006),66.603 (1.998),69.337 (1.877),65.624 (1.799)
superconductivity (21263),47.15 (0.307),41.075 (0.29),40.245 (0.327),40.148 (0.326),40.019 (0.331),39.097 (0.332),39.773 (0.336)
homes (21613),496620.433 (3788.737),456078.276 (3293.804),445102.762 (5277.077),443610.53 (4867.175),442100.378 (4466.711),433527.411 (4564.289),432341.626 (3392.894)
protein (45730),15.775 (0.105),14.85 (0.055),14.567 (0.069),14.556 (0.068),14.538 (0.067),14.431 (0.065),14.484 (0.062)
WEC (54007),100837.563 (872.857),87799.174 (702.695),82445.498 (820),84268.699 (867.187),84330.144 (885.588),84245.273 (781.983),71394.476 (817.695)
