Dataset,CREDO,CREDO (adap.),CQR,CQR-r,UACQRS,UACQRP,EPIC
qsar fish toxicity (908),0.862 (0.01),0.859 (0.01),0.827 (0.016),0.827 (0.017),0.834 (0.015),0.833 (0.015),0.865 (0.017)
concrete (1030),0.834 (0.015),0.838 (0.013),0.807 (0.016),0.807 (0.017),0.813 (0.016),0.82 (0.016),0.832 (0.016)
airfoil (1503),0.853 (0.012),0.855 (0.012),0.846 (0.014),0.845 (0.014),0.841 (0.014),0.838 (0.013),0.861 (0.015)
winered (1599),0.861 (0.01),0.856 (0.008),0.857 (0.01),0.858 (0.009),0.861 (0.009),0.852 (0.011),0.86 (0.012)
communities (1994),0.867 (0.008),0.868 (0.008),0.854 (0.009),0.859 (0.01),0.865 (0.009),0.865 (0.008),0.866 (0.011)
star $\times 10^2$ (2161),0.871 (0.007),0.87 (0.008),0.863 (0.008),0.868 (0.007),0.865 (0.006),0.877 (0.007),0.87 (0.008)
abalone (4177),0.864 (0.006),0.87 (0.006),0.866 (0.008),0.865 (0.008),0.865 (0.008),0.861 (0.007),0.872 (0.007)
winewhite (4898),0.875 (0.005),0.879 (0.006),0.872 (0.007),0.871 (0.007),0.875 (0.006),0.872 (0.006),0.878 (0.007)
cycle (9568),0.881 (0.004),0.882 (0.004),0.88 (0.004),0.881 (0.004),0.879 (0.004),0.882 (0.003),0.883 (0.005)
electric (10000),0.865 (0.005),0.872 (0.005),0.833 (0.007),0.829 (0.007),0.819 (0.008),0.821 (0.006),0.846 (0.007)
meps19 (15785),0.872 (0.005),0.868 (0.006),0.863 (0.007),0.859 (0.007),0.862 (0.006),0.776 (0.005),0.879 (0.004)
superconductivity (21263),0.8 (0.005),0.839 (0.005),0.867 (0.004),0.862 (0.004),0.867 (0.004),0.869 (0.004),0.871 (0.004)
homes (21613),0.889 (0.003),0.888 (0.002),0.84 (0.008),0.842 (0.007),0.844 (0.006),0.824 (0.003),0.878 (0.004)
protein (45730),0.847 (0.004),0.86 (0.003),0.829 (0.004),0.831 (0.004),0.834 (0.004),0.834 (0.003),0.854 (0.005)
WEC (54007),0.867 (0.003),0.854 (0.003),0.739 (0.006),0.733 (0.005),0.734 (0.006),0.697 (0.003),0.834 (0.006)
